高管姓名，性别，年龄，股票代码，职位
赵群，男，47，300254，董事长,董事
高四清，男，54，300303，副董事长,董事
周泽湘，男，53，300302，董事长,董事
李迪初，男，51，300301，董事
项坚，男，47，300300，董事长,董事
陈作涛，男，48，300332，董事长,董事
陈林森，男，57，300331，董事长,董事
项翔，男，45，300330，董事长,董事
傅启明，男，60，300327，董事长,董事
张力新，男，63，300371，董事长,董事
俞凌，男，52，300370，董事长,董事
沈继业，男，51，300369，董事长,董事
孙景涛，男，53，300368，董事长,董事
史实，男，37，300392，董事长,董事
郭晓伟，男，39，300391，董事长,董事
裴振华，男，59，300390，董事长,董事
丁彦辉，男，45，300389，董事长,董事
钱晓春，男，54，300429，董事长,董事
杨成，男，57，300427，董事长,董事
吴宏亮，男，48，300426，董事长,董事
倪明亮，男，54，300425，董事长,董事
王维东，男，41，300457，董事长,董事
杨云春，男，49，300456，董事长,董事
赵大鹏，男，56，300455，董事长,董事
彭义兴，男，60，300453，董事长,董事
孙玮恒，男，56，600023，董事长,董事
陶登奎，男，55，600022，董事长,董事
王运丹，男，58，600021，董事长,董事
金雷，男，46，600020，董事长,董事
张新，男，56，600089，董事长,董事
唐世鼎，男，48，600088，董事长,董事
苏新刚，男，60，600087，董事长,董事
赵宁，男，37，600086，董事长,董事
易仁涛，男，37，600136，董事长,董事
滕方迁，男，56，600135，董事长,董事
杨涛，男，37，600133，董事长,董事
柯俊财，男，45，600132，董事长,董事
刘述峰，男，63，600183，董事长,董事
李怀靖，男，54，600182，董事长,董事
燕刚，男，40，600180，董事长,董事
郭东圣，男，40，600179，董事长,董事
李春波，男，59，600216，董事长,董事
吴锦华，男，28，600215，董事长,董事
钱栋，男，54，600213，董事长,董事
兰华升，男，47，600212，董事长,董事
陈代华，男，55，600266，董事长,董事
蓝来富，男，43，600265，董事长,董事
毛志远，男，60，600263，董事长,董事
高汝森，男，55，600262，董事长,董事
成卫，男，53，600312，董事长,董事
刘永，男，50，600311，董事长,董事
秦敏，男，49，600310，董事长,董事
廖增太，男，55，600309，董事长,董事
梁君，男，43，600368，董事长,董事
郭汉光，男，55，600367，董事长,董事
竺晓东，男，39，600366，董事长,董事
何为民，男，47，600365，董事长,董事
郑术建，男，52，600425，董事长,董事
陆胜云，男，48，600423，董事长,董事
汪思洋，男，31，600422，董事长,董事
周伟兴，男，58，600421，董事长,董事
鲁国庆，男，56，600498，董事长,董事
孙勇，男，46，600497，董事长,董事
方朝阳，男，51，600496，董事长,董事
张朝宏，男，49，600495，董事长,董事
郭亚军，男，62，600555，董事长,董事
夏宁，男，50，600552，董事长,董事
王民，男，54，600551，董事长,董事
雷升逵，男，52，600608，董事长,董事
吕明方，男，61，600607，董事长,董事
张玉良，男，62，600606，董事长,董事
郑树昌，男，52，600605，董事长,董事
李德福，男，60，600645，董事长,董事
廖政权，男，54，600644，董事长,董事
王均金，男，50，600643，董事长,董事
须伟泉，男，57，600642，董事长,董事
张大成，男，64，600701，董事长,董事
李键，男，58，600700，董事长,董事
王剑峰，男，48，600699，董事长,董事
黄毅，男，56，600698，董事长,董事
陈虹，男，57，600741，董事长,董事
尚书志，男，66，600739，董事长,董事
张宏，男，57，600738，董事长,董事
夏令和，男，53，600737，董事长,董事
唐勇，男，44，600794，董事长,董事
易从，男，55，600793，董事长,董事
彭伟，男，50，600792，董事长,董事
李育海，男，44，600791，董事长,董事
游小明，男，51，600850，董事长,董事
袁国华，男，52，600848，董事长,董事
刘悉承，男，56，600847，董事长,董事
邹磊，男，52，600875，董事长,董事
刘玉军，男，52，600874，董事长,董事
王爱军，女，46，600873，董事长,董事
熊炜，男，50，600872，董事长,董事
陈信平，男，56，600990，董事长,董事
朱重庆，男，65，600987，董事长,董事
李明鲁，男，49，600985，董事长,董事
杨宏军，男，48，600984，董事长,董事
龚国贤，男，54，601199，董事长,董事
魏庆华，男，54，601198，董事长,董事
孙熠嵩，男，55，601188，董事长,董事
孟凤朝，男，60，601186，董事长,执行董事
林聪颖，男，58，601566，董事长,董事
马忠，男，55，601558，董事长,董事
范力，男，52，601555，董事长,董事
张志宏，男，57，601519，董事长,董事
李刚，男，51，601888，董事长,董事
刘载望，男，46，601886，董事长,董事
张乙明，男，54，601880，董事长,执行董事
